vm_name,vm_resourceGroup,ipAddress,vNet_name,vNet_resourceGroup,location,range,subnetNames,subnetRanges,NSG_names,NSG_resourceGroups
vmwebextjpe01,mytmeic,10.248.144.4,vnet-ext-jpe-01,mytmeic,japaneast,10.248.144.0/24,snet-prd-jpe-01;snet-agw-prd-jpe-01;snet-prd-jpe-02;snet-prd-jpe-03;snet-prd-jpe-04,10.248.144.0/25;10.248.144.240/28;10.248.144.128/26;10.248.144.192/27;10.248.144.224/28,nsg-ext-prd-jpe-01;nsg-agw-prd-jpe-01;nsg-ext-prd-jpe-01;nsg-ext-prd-jpe-01;nsg-ext-prd-jpe-01,mytmeic;mytmeic;mytmeic;mytmeic;mytmeic
vmdsmintjpe01,mytmeic,10.248.145.4,vnet-int-jpe-01,mytmeic,japaneast,10.248.145.0/24,snet-prd-jpe-01,10.248.145.0/24,nsg-int-prd-jpe-01,mytmeic
